"Group","DistanceToCentroid"
"SC_Quina",2.10039181094342
"SC_Quina",1.86111090145822
"SC_Quina",1.49512149342061
"SC_Quina",2.09072417182194
"SC_Quina",2.3512759907031
"SC_Quina",1.37047889004658
"SC_Quina",0.530700992736029
"SC_Quina",1.99920189367405
"SC_Quina",1.98550486392918
"SC_Quina",2.42710560383791
"SC_Quina",1.68052573172299
"SC_Quina",2.47321157332469
"SC_Quina",2.35793285968104
"SC_Quina",2.43025548775271
"SC_Quina",2.12837197235258
"SC_Quina",1.93870717104919
"SC_Quina",2.46852947880229
"SC_Quina",1.60806482063845
"SC_Quina",1.28578938902993
"SC_Quina",2.26738254886959
"SC_Quina",1.29058371379973
"SC_Quina",3.32240317006816
"SC_Quina",2.79293475293637
"SC_Quina",3.51075651576492
"SC_Quina",3.13138826775797
"SC_Quina",2.07169554298622
"SC_Quina",2.30370509983838
"SC_Quina",2.99682202316866
"SC_Quina",0.981013879096468
"SC_Quina",1.86983206521636
"SC_Quina",1.21396018937271
"SC_Quina",2.08367601085229
"SC_Quina",1.54323876024165
"SC_Quina",0.968881270527186
"SC_Quina",1.15441873199638
"SC_Quina",1.31300239053016
"SC_Quina",1.50611082145152
"SC_Quina",1.51239872282433
"SC_Quina",0.82312266152187
"SC_Quina",1.79810919207012
"SC_Quina",2.35701824098364
"SC_Quina",2.09774268903785
"SC_Quina",1.69191970971836
"SC_Quina",2.9669250738805
"SC_Quina",2.54735175105208
"SC_Quina",1.96005393505836
"SC_Quina",1.69784358286349
"SC_Quina",2.11837232038066
"SC_Quina",2.01324979470269
"SC_Quina",1.3896390018488
"SC_Quina",1.38726761203649
"SC_Quina",1.19501656944481
"SC_Quina",1.94829866893977
"SC_Quina",1.38386862114673
"SC_Quina",1.84081778567337
"SC_Quina",1.06423012101907
"SC_Quina",1.01269680485393
"SC_Quina",1.09730515628245
"SC_Quina",1.90572394001774
"SC_Quina",1.62873798594334
"SC_Quina",1.70643027306127
"SC_Quina",1.43313842562327
"SC_Quina",2.04503337778718
"SC_Quina",2.26671209887699
"SC_Quina",2.31211325031179
"SC_Quina",2.04769305410851
"SC_Quina",1.78290798940917
