"LD1","LD2","Group"
-1.14684855720753,0.541721633844265,"SC_Quina"
-1.00416113309355,-1.00137903476102,"SC_Quina"
-0.670346285019301,0.790021444199686,"SC_Quina"
0.218969445597109,-0.300317242265748,"SC_Quina"
0.0390939095272614,-1.3862912606294,"SC_Quina"
-0.841212679104276,1.34482352295655,"SC_Quina"
-0.667737520777472,-0.553036783746588,"SC_Quina"
-2.02279481446994,-1.50828470271594,"SC_Quina"
0.713933039642644,1.20173573496209,"SC_Quina"
-0.430257858037762,3.14158997940279,"SC_Quina"
-1.02296265961465,0.653071407104468,"SC_Quina"
1.18129107405474,0.133739966105487,"SC_Quina"
1.7725220577356,-0.292521376516302,"SC_Quina"
-1.33176002810422,0.175339627254534,"SC_Quina"
-0.402762022060092,1.40329613616716,"SC_Quina"
0.685736549588458,0.830890625177407,"SC_Quina"
-0.931667801812095,0.0094487945499445,"SC_Quina"
-0.0100457288561734,0.315510284254111,"SC_Quina"
-0.570472434073009,-1.05000965443176,"SC_Quina"
1.00962708356858,0.160998252310496,"SC_Quina"
-0.177809202216096,0.546733576647118,"SC_Quina"
0.72790921923751,-0.482810490663362,"SC_Quina"
-0.917877280519244,2.03321038960834,"SC_Quina"
2.31424691864267,1.28260077666796,"SC_Quina"
1.10126552147553,0.444309682262156,"SC_Quina"
-1.56467318613374,-0.596848908649511,"SC_Quina"
1.40495822754566,-0.336920821566784,"SC_Quina"
-2.42811380098594,0.789184618489089,"SC_Quina"
-0.685644903933277,0.0290743541050286,"SC_Quina"
-0.365640263307787,0.688773360607548,"SC_Quina"
-0.808659141698639,0.0925112057245924,"SC_Quina"
-1.72399165597128,2.23249144950189,"SC_Quina"
-0.520881626382449,0.933597649987969,"SC_Quina"
-0.213889706859056,-0.666701733779802,"SC_Quina"
-0.646260903305983,-0.176363925759792,"SC_Quina"
-0.020300376127472,0.68541659912119,"SC_Quina"
0.126112405988898,-0.961372385147664,"SC_Quina"
-1.27760944282052,1.51492673855727,"SC_Quina"
-0.737972135627712,-0.622821965054746,"SC_Quina"
-1.566239109013,-1.39987264201134,"SC_Quina"
-1.77109003526502,-2.42363646495274,"SC_Quina"
-0.760670716530677,2.47346556823322,"SC_Quina"
-1.12166409175183,0.629694909161347,"SC_Quina"
-2.85010254234286,-0.267081239941099,"SC_Quina"
-1.52224256282568,-2.30052499696838,"SC_Quina"
-1.7022617569828,-0.319716987306267,"SC_Quina"
-0.105046158944229,-1.84353376593958,"SC_Quina"
-1.21515998555209,0.522789614389238,"SC_Quina"
-0.654022170640621,1.33701529245467,"SC_Quina"
-0.0585268030062434,0.759380337177692,"SC_Quina"
0.192391262202325,0.557047195326374,"SC_Quina"
0.662649825228486,-0.52223163065604,"SC_Quina"
0.479968576787329,-0.162434092752292,"SC_Quina"
-1.56793948407539,0.916959671719923,"SC_Quina"
-2.35057923486126,1.24074763623882,"SC_Quina"
-0.30438564267436,-0.862827991008481,"SC_Quina"
-0.771782807876571,0.356503059136478,"SC_Quina"
-1.53141318514749,-0.152708306011667,"SC_Quina"
-0.610523724978598,-1.09440654821485,"SC_Quina"
-0.139322915281062,0.466043127267036,"SC_Quina"
