"PC1","PC2","Group"
-1.80528640745018,0.940601830050504,"SC_Quina"
-0.80066239817998,1.76063020234776,"SC_Quina"
-0.0371841955148869,-0.735048636523306,"SC_Quina"
0.268849448865616,0.09157695926228,"SC_Quina"
0.159474808762689,1.91289005899751,"SC_Quina"
-0.921895473196617,-0.184683020623353,"SC_Quina"
-0.617400619901713,0.467757087730668,"SC_Quina"
-2.15509222628715,0.753621506580198,"SC_Quina"
0.533336552096815,-0.841196678668393,"SC_Quina"
-0.137702640767104,-0.741946279591919,"SC_Quina"
-1.65141299732639,0.182754936865995,"SC_Quina"
1.55937346888759,-0.0484545801172916,"SC_Quina"
1.20296151661866,0.134305232352478,"SC_Quina"
-1.63909499370279,-1.38151468910256,"SC_Quina"
-1.36895557432667,-0.0828346912158964,"SC_Quina"
0.607238969644343,-1.30611073985917,"SC_Quina"
-0.778253423601668,1.91981236268272,"SC_Quina"
0.834751621212212,0.524054747524605,"SC_Quina"
-0.479542438427832,1.26328509502014,"SC_Quina"
1.51354640829217,-0.521834798853785,"SC_Quina"
0.193387099853916,0.0707810204642699,"SC_Quina"
2.23609821235375,-0.286300253429193,"SC_Quina"
-1.40283326856257,0.204939844651255,"SC_Quina"
2.54234471663112,-0.746378609812579,"SC_Quina"
1.69579358568881,0.47864242569265,"SC_Quina"
-0.121876253000375,1.7280220487855,"SC_Quina"
0.756707806273716,0.698178283680974,"SC_Quina"
-2.10177329509433,2.36492814090375,"SC_Quina"
-0.962450016791373,0.300277174191834,"SC_Quina"
0.783048864665616,0.868139826214693,"SC_Quina"
-0.849826542022311,0.709217647703028,"SC_Quina"
-0.605795831875906,0.890766542713591,"SC_Quina"
0.0327770634799773,0.963692662722482,"SC_Quina"
-0.326690372971688,0.288167579323904,"SC_Quina"
-0.595882423352894,-0.530358487931985,"SC_Quina"
-0.689780637373479,-0.67965775489842,"SC_Quina"
0.37427897866047,0.554504244716213,"SC_Quina"
-0.27311405970394,0.444845284536492,"SC_Quina"
-0.877422573910573,0.0630077084225032,"SC_Quina"
-1.46407236334552,0.17820679647183,"SC_Quina"
-1.29637166746344,1.95979705042418,"SC_Quina"
-0.418300718858703,-0.974168139213376,"SC_Quina"
-1.62952180481314,0.236094497339399,"SC_Quina"
-3.2413279997413,1.3608979694911,"SC_Quina"
-1.80880253181772,1.44922632107803,"SC_Quina"
-0.667290927968881,1.92290214103292,"SC_Quina"
-0.0659042371206488,0.636226939756499,"SC_Quina"
-2.31312835590491,-0.903043685877486,"SC_Quina"
-1.21950295894314,-1.67818170986102,"SC_Quina"
-0.80128324143908,-1.145213140955,"SC_Quina"
-0.30500286230658,-0.850468006103055,"SC_Quina"
0.29492965031175,-0.0674705183669265,"SC_Quina"
1.07906982810404,0.937705624972723,"SC_Quina"
-1.73548847418324,-0.103684021800027,"SC_Quina"
-1.47490838975111,0.863825341336665,"SC_Quina"
-0.213265624837754,0.639408409508432,"SC_Quina"
-1.0970621063626,0.183380020618344,"SC_Quina"
-0.867294184795373,0.399563692607386,"SC_Quina"
-0.589518921395615,-0.534172225921265,"SC_Quina"
0.329822342705935,0.110323562979693,"SC_Quina"
0.840828677306797,0.241607022947566,"SC_Quina"
-0.575918209846007,-0.53150550265422,"SC_Quina"
1.36988884722839,0.275829211137372,"SC_Quina"
0.805683542914772,-0.44704031496594,"SC_Quina"
0.736063662018427,0.358497486533236,"SC_Quina"
-2.44861555590272,-0.10221655268045,"SC_Quina"
-0.274012725176033,1.01203261554021,"SC_Quina"
-1.17202632114146,-0.112361663482981,"SC_Quina"
0.361669749193266,1.11879224398385,"SC_Quina"
-1.73623175074798,0.706830395751993,"SC_Quina"
-0.853020367340507,0.928736537551241,"SC_Quina"
0.57821762991833,-0.524756597115217,"SC_Quina"
0.0284929933772346,0.61242485146021,"SC_Quina"
-0.0949746157631663,0.258251193018568,"SC_Quina"
-2.28288242645688,0.312117116327814,"SC_Quina"
0.636815172532921,-0.965654640418273,"SC_Quina"
0.519917592906762,0.275294036193512,"SC_Quina"
0.00907414451528032,1.09682878348767,"SC_Quina"
0.957130310434394,-0.615951897480945,"SC_Quina"
-0.230708617986564,-0.680050489138328,"SC_Quina"
-0.898417574512587,-0.427044891255232,"SC_Quina"
0.478614175595174,0.59598672028479,"SC_Quina"
0.0959554264048871,-0.00255225846204947,"SC_Quina"
0.573789881666043,0.379766058061443,"SC_Quina"
-0.782939544436277,-0.366744567590814,"SC_Quina"
-0.847728438000901,0.86555178865991,"SC_Quina"
-0.226344395679671,0.102622820959753,"SC_Quina"
0.823747322070473,-0.051561988932523,"SC_Quina"
-0.231036951454189,0.601000368166769,"SC_Quina"
1.20582335671576,0.477696972006424,"SC_Quina"
-0.565743426138607,1.04695590891895,"SC_Quina"
0.562971061707944,0.734345634590798,"SC_Quina"
-3.32390802542906,1.23445885171994,"SC_Quina"
-0.0597499692739368,1.00181058111505,"SC_Quina"
-0.0747391061798789,0.853193882723999,"SC_Quina"
-1.27908667658888,0.501892541931919,"SC_Quina"
0.440776759902782,0.283353049264382,"SC_Quina"
0.187575918395734,0.978571423409619,"SC_Quina"
0.745068388956624,0.38111262721406,"SC_Quina"
-0.807463241813237,0.568151316127505,"SC_Quina"
-0.344671950944934,1.04564008046489,"SC_Quina"
-2.21942649762653,1.08830219855163,"SC_Quina"
1.6552734132224,0.591577694554282,"SC_Quina"
-1.32691353268888,-0.259804689926981,"SC_Quina"
-0.927649803553253,0.762213163277937,"SC_Quina"
0.597408155533597,0.52261055815375,"SC_Quina"
1.60387655960016,-0.106260386731119,"SC_Quina"
-0.777204548730868,-0.506999620957715,"SC_Quina"
-0.28960042825377,0.0894409133914671,"SC_Quina"
-0.954401366809073,1.24517675588543,"SC_Quina"
1.45830555793126,0.277955658021334,"SC_Quina"
-0.838552171603923,-1.63326350988702,"SC_Quina"
1.1091713213264,0.00502792278420433,"SC_Quina"
-1.95882682662297,0.744475475746051,"SC_Quina"
0.0629745245016756,-0.984790531742513,"SC_Quina"
0.118968430930352,0.852748963925849,"SC_Quina"
1.91657863690701,-0.0630038092729029,"SC_Quina"
0.573656538844933,-1.2558913515771,"SC_Quina"
-0.915870818410071,0.179905886079567,"SC_Quina"
-3.2938420496156,-0.489135534848365,"SC_Quina"
0.232148336519559,0.988969725098703,"SC_Quina"
-0.962594230904601,1.40595350384722,"SC_Quina"
0.872848442538805,-0.510023850082293,"SC_Quina"
-0.26942322389399,0.531793899997385,"SC_Quina"
-0.547418873524775,-0.942643885235114,"SC_Quina"
-3.08930909838915,-1.13245990871423,"SC_Quina"
-3.66983829772393,-2.77718595826878,"SC_Quina"
-3.73266163841583,-3.5382860738988,"SC_Quina"
-0.587089423968614,-0.406576250786889,"SC_Quina"
-3.30490245073563,-2.25035422961016,"SC_Quina"
-1.17663529468103,0.317825876950934,"SC_Quina"
-3.3878963455503,0.403847976338909,"SC_Quina"
-2.64601694238116,-2.11305260527212,"SC_Quina"
-4.13310773841727,-0.549971344841433,"SC_Quina"
-2.46410861000609,-1.62962807312755,"SC_Quina"
-2.05249401113169,0.512858263534134,"SC_Quina"
-1.36254721465251,1.43144258596988,"SC_Quina"
-2.96493662908209,-0.112774966232624,"SC_Quina"
-2.94846665319715,0.667174905792684,"SC_Quina"
-0.920868545049009,-0.713785960792245,"SC_Quina"
-1.17607675994141,1.54517707410131,"SC_Quina"
0.570639482292381,0.714487463330271,"SC_Quina"
-1.83336322840646,-1.06153711795066,"SC_Quina"
0.882067570127801,0.213937783604606,"SC_Quina"
-0.21008836268175,0.701464362777302,"SC_Quina"
-0.862938744959941,-0.246568883748649,"SC_Quina"
-0.702045006879085,-0.0933965254618001,"SC_Quina"
-3.05912606286952,1.73685418301258,"SC_Quina"
-2.30821490072549,0.985933692664824,"SC_Quina"
-4.3389035246157,-3.06120873895505,"SC_Quina"
-3.64284626213152,-3.06545714032312,"SC_Quina"
-2.41581374001199,0.105998632445923,"SC_Quina"
-2.3818576289159,-1.45131732576928,"SC_Quina"
-1.25972067188789,-1.30241414632023,"SC_Quina"
-1.8729480879312,-1.01059317281025,"SC_Quina"
0.315833582213074,1.08273701525674,"SC_Quina"
-1.84097220643092,-0.0799026483360635,"SC_Quina"
0.220453364017731,0.817158723431001,"SC_Quina"
-2.81159322239201,-1.09202394028061,"SC_Quina"
-4.62222851161584,-0.757024054527611,"SC_Quina"
-2.94166178696727,-1.71727608209704,"SC_Quina"
-4.21452855021613,-1.26743613326817,"SC_Quina"
-5.95320437133522,-2.16427212743012,"SC_Quina"
2.21295257197233,-0.902755853949121,"SC_Quina"
-2.25319600910134,0.522023928378033,"SC_Quina"
-0.327748589103543,0.946251350582528,"LT_Quina"
-0.551554352904111,0.0771840105129996,"LT_Quina"
-1.19613677872947,0.252011867498978,"LT_Quina"
-2.86081094589466,-0.749377799948456,"LT_Quina"
-1.99512227992679,-0.0208715954108442,"LT_Quina"
1.46531532835405,0.374283211030173,"LT_Quina"
