"PCoA1","PCoA2","Group"
-1.80528640745018,-0.940601830050478,"SC_Quina"
-0.800662398179969,-1.76063020234777,"SC_Quina"
-0.0371841955148922,0.735048636523308,"SC_Quina"
0.268849448865616,-0.0915769592622626,"SC_Quina"
0.159474808762689,-1.91289005899751,"SC_Quina"
-0.921895473196615,0.184683020623371,"SC_Quina"
-0.617400619901712,-0.46775708773067,"SC_Quina"
-2.15509222628714,-0.753621506580214,"SC_Quina"
0.533336552096815,0.841196678668413,"SC_Quina"
-0.137702640767104,0.741946279591938,"SC_Quina"
-1.65141299732639,-0.182754936865972,"SC_Quina"
1.55937346888759,0.0484545801173065,"SC_Quina"
1.20296151661866,-0.134305232352459,"SC_Quina"
-1.63909499370279,1.38151468910253,"SC_Quina"
-1.36895557432667,0.0828346912159306,"SC_Quina"
0.607238969644342,1.30611073985917,"SC_Quina"
-0.778253423601667,-1.91981236268269,"SC_Quina"
0.834751621212211,-0.524054747524611,"SC_Quina"
-0.479542438427831,-1.26328509502014,"SC_Quina"
1.51354640829216,0.521834798853786,"SC_Quina"
0.193387099853916,-0.0707810204642583,"SC_Quina"
2.23609821235374,0.286300253429172,"SC_Quina"
-1.40283326856257,-0.204939844651207,"SC_Quina"
2.54234471663111,0.7463786098126,"SC_Quina"
1.69579358568881,-0.478642425692619,"SC_Quina"
-0.121876253000375,-1.72802204878551,"SC_Quina"
0.756707806273715,-0.69817828368096,"SC_Quina"
-2.10177329509433,-2.36492814090373,"SC_Quina"
-0.962450016791371,-0.300277174191825,"SC_Quina"
0.783048864665614,-0.86813982621469,"SC_Quina"
-0.849826542022309,-0.709217647703011,"SC_Quina"
-0.605795831875905,-0.890766542713578,"SC_Quina"
0.0327770634799771,-0.96369266272248,"SC_Quina"
-0.326690372971687,-0.288167579323898,"SC_Quina"
-0.595882423352893,0.530358487931981,"SC_Quina"
-0.689780637373478,0.679657754898429,"SC_Quina"
0.374278978660469,-0.554504244716207,"SC_Quina"
-0.27311405970394,-0.444845284536501,"SC_Quina"
-0.877422573910572,-0.0630077084225181,"SC_Quina"
-1.46407236334552,-0.178206796471846,"SC_Quina"
-1.29637166746343,-1.9597970504242,"SC_Quina"
-0.418300718858702,0.974168139213394,"SC_Quina"
-1.62952180481313,-0.236094497339378,"SC_Quina"
-3.2413279997413,-1.36089796949109,"SC_Quina"
-1.80880253181771,-1.44922632107805,"SC_Quina"
-0.66729092796888,-1.92290214103292,"SC_Quina"
-0.0659042371206487,-0.636226939756523,"SC_Quina"
-2.3131283559049,0.903043685877484,"SC_Quina"
-1.21950295894313,1.67818170986101,"SC_Quina"
-0.801283241439079,1.145213140955,"SC_Quina"
-0.305002862306579,0.850468006103067,"SC_Quina"
