"Variable","n","rho","S","p_value","p_adjusted"
"Edge_Angle",166,0.434260322901541,431294.471534396,5.05301572696873e-09,2.02120629078749e-08
"Thickness",166,0.225885635760783,590149.956149588,0.00343064768539789,0.00457419691386386
"Ave_GIUR",165,0.399545003130393,449536.6379564,1.05875933489507e-07,2.11751866979014e-07
"Retouch_length_index",166,0.209338914406391,602764.431907716,0.00679308263637941,0.00679308263637941
