"Variable","n","rho","S","p_value","p_adjusted"
"Retouch_length_index",166,0.18541118579376,621005.855454198,0.0167760500618181,0.0167760500618181
"Ave_GIUR",165,0.268599082734881,547570.610719704,0.000486074967366412,0.000729112451049618
"Ave_RG",166,0.434260322901541,431294.471534396,5.05301572696873e-09,1.51590471809062e-08
