"Variable","n","rho","S","p_value","p_adjusted"
"Edge_Angle",118,0.159978524642686,230013.840360864,0.0835452668198489,0.258371977473542
"Ave_GIUR",118,-0.0650038820668849,291618.297983672,0.484335680134593,0.581202816161511
"Retouch_length_index",118,0.158676303660492,230370.413207988,0.0861239924911805,0.258371977473542
"Ave_RG",118,-0.10702230165534,303123.739616963,0.248705031659925,0.497410063319851
"Thickness",118,0.0885966386088533,249559.557012762,0.340064129651255,0.510096194476882
"Invasive_index",118,-0.0443952662895761,285975.267420145,0.633107365674484,0.633107365674484
