"Variable","PC1","PC2"
"Thickness",-0.331591569863548,0.255284224872867
"Retouch_length_index",-0.383053855507465,-0.669069161349155
"Ave_GIUR",-0.390816426660157,0.24475675671184
"N_Scar",-0.449426837301178,-0.459888798382452
"Ave_RG",-0.457753689908852,0.264580158454847
"Edge_Angle",-0.423150531746294,0.381798618097096
